id,meeting_id,report_type,content_raw,summary,emotion,keywords,counseling_plan
1,1,출결 요약,"조퇴 2회 및 결석 1회 발생, 건강상 이유로 확인됨.",출석률이 양호한 편임.,분노,출석률이; 양호한,생활 습관 점검 필요
2,2,상담 요약,진로에 대한 고민이 깊어지고 있음.,학업 계획에 대한 코칭이 필요함.,분노,학업; 계획에,생활 습관 점검 필요
3,3,출결 요약,정기적으로 지각하는 경향이 있음.,학부모 상담 권장됨.,무기력,학부모; 상담,학부모 상담 권장
4,4,출결 요약,정기적으로 지각하는 경향이 있음.,학부모 상담 권장됨.,무기력,학부모; 상담,학부모 상담 권장
5,5,행사 후기,환경 캠페인 활동에서 주도적인 역할을 수행함.,책임감 있는 태도를 보임.,의욕,책임감; 있는,긍정적 행동 강화
6,6,행사 후기,과학 체험 활동에 적극적으로 참여함.,사회성 발달에 긍정적인 경험이 되었음.,불안,사회성; 발달에,심리 안정 지도 필요
7,7,행사 후기,현장체험학습 중 발표 활동에서 활발히 참여함.,예술적 감각이 뛰어남.,불안,예술적; 감각이,심리 안정 지도 필요
8,8,출결 요약,정기적으로 지각하는 경향이 있음.,생활 패턴 점검이 필요함.,무기력,생활; 패턴,학부모 상담 권장
9,9,행사 후기,운동회에서 친구들과 협동하며 긍정적인 모습을 보임.,적극적 참여와 협동심이 돋보임.,의욕,적극적; 참여와,긍정적 행동 강화
10,10,출결 요약,출결 상태는 전반적으로 양호함.,출석률이 양호한 편임.,불안,출석률이; 양호한,심리 안정 지도 필요
11,11,출결 요약,출결 상태는 전반적으로 양호함.,생활 패턴 점검이 필요함.,의욕,생활; 패턴,긍정적 행동 강화
12,12,행사 후기,환경 캠페인 활동에서 주도적인 역할을 수행함.,예술적 감각이 뛰어남.,의욕,예술적; 감각이,긍정적 행동 강화
13,13,행사 후기,과학 체험 활동에 적극적으로 참여함.,예술적 감각이 뛰어남.,긍정,예술적; 감각이,현재 상태 유지 및 격려
14,14,출결 요약,최근 지각이 3회 발생했으며 개선이 필요한 상황임.,생활 패턴 점검이 필요함.,분노,생활; 패턴,생활 습관 점검 필요
15,15,행사 후기,과학 체험 활동에 적극적으로 참여함.,책임감 있는 태도를 보임.,무기력,책임감; 있는,학부모 상담 권장
16,16,행사 후기,운동회에서 친구들과 협동하며 긍정적인 모습을 보임.,적극적 참여와 협동심이 돋보임.,의욕,적극적; 참여와,긍정적 행동 강화
17,17,상담 요약,최근 친구와의 갈등으로 우울한 감정을 표현함.,심리 상담 연계 고려 필요.,분노,심리; 상담,생활 습관 점검 필요
18,18,상담 요약,진로에 대한 고민이 깊어지고 있음.,학업 계획에 대한 코칭이 필요함.,불안,학업; 계획에,심리 안정 지도 필요
19,19,상담 요약,학업 스트레스로 집중력이 떨어진다고 호소함.,학업 계획에 대한 코칭이 필요함.,불안,학업; 계획에,심리 안정 지도 필요
20,20,행사 후기,환경 캠페인 활동에서 주도적인 역할을 수행함.,관찰력과 표현력이 우수함.,불안,관찰력과; 표현력이,심리 안정 지도 필요
21,21,출결 요약,출결 상태는 전반적으로 양호함.,학부모 상담 권장됨.,긍정,학부모; 상담,현재 상태 유지 및 격려
22,22,상담 요약,최근 친구와의 갈등으로 우울한 감정을 표현함.,또래 관계 중재가 요구됨.,불안,또래; 관계,심리 안정 지도 필요
23,23,행사 후기,현장체험학습 중 발표 활동에서 활발히 참여함.,사회성 발달에 긍정적인 경험이 되었음.,분노,사회성; 발달에,생활 습관 점검 필요
24,24,상담 요약,공부에 대한 의욕은 있지만 성적 향상에 어려움이 있음.,심리 상담 연계 고려 필요.,무기력,심리; 상담,학부모 상담 권장
25,25,상담 요약,최근 친구와의 갈등으로 우울한 감정을 표현함.,진로 탐색 활동 지원이 유익할 것임.,불안,진로; 탐색,심리 안정 지도 필요
26,26,행사 후기,미술제 준비에 성실히 임함.,예술적 감각이 뛰어남.,무기력,예술적; 감각이,학부모 상담 권장
27,27,상담 요약,학업 스트레스로 집중력이 떨어진다고 호소함.,심리 상담 연계 고려 필요.,의욕,심리; 상담,긍정적 행동 강화
28,28,행사 후기,미술제 준비에 성실히 임함.,책임감 있는 태도를 보임.,보통,책임감; 있는,
29,29,상담 요약,가정 내 문제로 정서적 불안정함을 보임.,학업 계획에 대한 코칭이 필요함.,긍정,학업; 계획에,현재 상태 유지 및 격려
30,30,상담 요약,학업 스트레스로 집중력이 떨어진다고 호소함.,진로 탐색 활동 지원이 유익할 것임.,분노,진로; 탐색,생활 습관 점검 필요
31,31,출결 요약,최근 지각이 3회 발생했으며 개선이 필요한 상황임.,생활 패턴 점검이 필요함.,의욕,생활; 패턴,긍정적 행동 강화
32,32,행사 후기,현장체험학습 중 발표 활동에서 활발히 참여함.,적극적 참여와 협동심이 돋보임.,긍정,적극적; 참여와,현재 상태 유지 및 격려
33,33,행사 후기,과학 체험 활동에 적극적으로 참여함.,책임감 있는 태도를 보임.,의욕,책임감; 있는,긍정적 행동 강화
34,34,출결 요약,"조퇴 2회 및 결석 1회 발생, 건강상 이유로 확인됨.",출결 관리가 지속적으로 필요함.,불안,출결; 관리가,심리 안정 지도 필요
35,35,출결 요약,불규칙한 출석 패턴이 나타나고 있음.,학부모 상담 권장됨.,무기력,학부모; 상담,학부모 상담 권장
36,36,행사 후기,미술제 준비에 성실히 임함.,사회성 발달에 긍정적인 경험이 되었음.,보통,사회성; 발달에,
37,37,행사 후기,과학 체험 활동에 적극적으로 참여함.,사회성 발달에 긍정적인 경험이 되었음.,분노,사회성; 발달에,생활 습관 점검 필요
38,38,상담 요약,공부에 대한 의욕은 있지만 성적 향상에 어려움이 있음.,또래 관계 중재가 요구됨.,긍정,또래; 관계,현재 상태 유지 및 격려
39,39,행사 후기,현장체험학습 중 발표 활동에서 활발히 참여함.,책임감 있는 태도를 보임.,긍정,책임감; 있는,현재 상태 유지 및 격려
40,40,출결 요약,"조퇴 2회 및 결석 1회 발생, 건강상 이유로 확인됨.",생활 패턴 점검이 필요함.,보통,생활; 패턴,
